Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Груши сушеные, тушеные с сахаром;140;0,86;0,29;31,34
Груши, консервированные в водной заливке;29;0,19;0,03;6,21
Груши, консервированные в легком сахарном сиропе;57;0,19;0,03;13,57
Груши, консервированные в насыщенном сахарном сиропе;74;0,2;0,13;17,57
Груши, консервированные в насыщенном сахарном сиропе, сухой продукт;74;0,24;0,18;16,38
Груши, консервированные в собственном соку;50;0,34;0,07;11,34
Груши, консервированные в экстра-легком сахарном сиропе;47;0,3;0,1;10,6
Груши, консервированные в экстра-насыщенном сахарном сиропе;97;0,19;0,13;23,65
Гуава;68;2,55;0,95;8,92
Гуава земляничная;69;0,58;0,6;11,96
Гуава, соус, приготовленный;36;0,32;0,14;5,88
Джамболан (ямболан), сырой;60;0,72;0,23;15,56
Джекфрут, консервированный в сахарном сиропе;92;0,36;0,14;23,04
Джекфрут, сырой;95;1,72;0,64;21,75
Дуриан;147;1,47;5,33;23,29
Дыня;35;0,6;0,3;7,4
Дыня белая мускатная;36;0,54;0,14;8,29
Дыня замороженная, шарики;33;0,84;0,25;7,24
Дыня зимняя, кассаба;28;1,11;0,1;5,68
Дыня мускусная, канталупа;34;0,84;0,19;7,26
Дыня рогатая, (кивано), огурец африканский;44;1,78;1,26;7,56
Ежевика;34;1,5;0,5;4,4
Ежевика;43;1,39;0,49;4,31
Ежевика дикая (Аляска);52;0,84;1,07;6,64
Ежевика, замороженная, неподслащенная;64;1,18;0,43;10,67
Ежевика, консервированная в насыщенном сахарном сиропе;92;1,31;0,14;19,7
Жимолость;41,2;0;0;8,5
Изюм без косточек (из винограда кишмиш);281;2,3;0,5;71,2
Изюм с косточками;296;2,52;0,54;71,67
Изюм с косточками (виноград сушеный);276;1,8;0,54;70,9
"Изюм чёрный без косточек (""коринка"", из винограда Черный Коринф)";290;3,43;0,22;72,58
Изюм, без косточек;299;3,3;0,25;74,82
Изюм, золотистый, без косточек;301;3,28;0,2;76,72
Инжир;54;0,7;0,2;12
Инжир;74;0,75;0,3;16,28
Инжир сушеный;257;3,1;0,8;57,9
Инжир сушеный;249;3,3;0,93;54,07
Инжир сушеный, подслащенный;107;1,42;0,4;23,37
Инжир, консервированный в водной заливке;53;0,4;0,1;11,79
Инжир, консервированный в легком сахарном сиропе;69;0,39;0,1;16,15
Инжир, консервированный в насыщенном сахарном сиропе;88;0,38;0,1;20,7
Инжир, консервированный в экстра-насыщенном сахарном сиропе;107;0,38;0,1;27,86
Ирга;47;0;0;11,4
Калина;26,3;0,37;1,5;6,5
Карамбола, сырая;31;1,04;0,33;3,93
Карисса, сырая;62;0,5;1,3;13,63
Келуак (кепаянг);111;2,3;2;17,7
Киви;47;0,8;0,4;8,1
Киви Zespri Санголд, новозеландское;63;1,02;0,28;14,39
Киви свежее;61;1,14;0,52;11,66
Киви, джем;243;0,4;0,2;58,9
Киви, пюре;47;0,8;0,4;8,2
