Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Овощные Галеты Кантри [Бондюэль];97;2,9;5,1;7,6
Овощные Галеты Ореховая Тыква с Мускатом [Бондюэль];95;3,4;5,1;7,3
Овощные Галеты Ореховая Тыква с Мускатом [Бондюэль];71;2,6;3,8;5,5
Овощные Галеты Сицилийские [Бондюэль];106;5;4,4;9,9
Огурцы маринованные 6-9 см [Бондюэль];20;1;0,2;3,5
Огурчики по-Дижонски [Бондюэль];71;0,5;0,2;16
Оливки без Косточки [Бондюэль];163;1;17;0
Оливки Мансанилья с Анчоусом [Бондюэль];167;2,2;10,5;5,1
Оливки Мансанилья с Голубым Сыром [Бондюэль];162;1;17;0,1
Оливки с Голубым Сыром [Бондюэль];167;2,2;10,5;5,1
Оливки с Косточкой [Бондюэль];160;1,4;18,2;5,1
Оливки с косточкой / без косточки [Бондюэль];160;1,4;18,2;5,1
Оливки с Лимоном [Бондюэль];162;1,1;16;1,6
Оливье на Пару [Бондюэль];53;2,6;0,5;7,7
Парижская Смесь [Бондюэль];95;3;4,5;8,5
Перцы Гриль [Бондюэль];44;1,7;0,3;7,2
Печеная Фасоль с Южными Томатами [Бондюэль];90;3,5;1,5;14
Печёная Фасоль со Сладким Перцем [Бондюэль];70;5,5;2,4;6,6
Прованская Смесь с Горошком [Бондюэль];72;2,8;2,2;8,5
Рататуй по-Провански [Бондюэль];90;1,3;6;6
Ростки фасоли Мунго [Бондюэль];14;1,5;0,1;1,8
Сабджи [Бондюэль];102;10,3;4,1;5,5
Салат-коктейль Гавайский маринованный [Бондюэль];91;1,7;0,5;20
Салат-коктейль Сомбреро [Бондюэль];62;1,7;0,8;11,9
"Свекла в Кубиках ""на Пару"" [Бондюэль]";41;0,9;0;8,1
Свекла в кубиках в кисло-сладком маринаде [Бондюэль];30;0,8;0,1;6,5
Сладкая Кукуруза в Овощном Салате Мексиканский [Бондюэль];81;3,4;1,5;11,4
Смесь для Жарки Средиземноморская [Бондюэль];83;1,8;3,7;9,1
Спаржа зелёная целая [Бондюэль];24;0,6;1,3;2,6
Трио-aссорти из сладкого перца [Бондюэль];25;1,1;0,2;4,8
Турецкий горох Нут [Бондюэль];127;6,3;3,2;18,3
Фасоль Белая Классическая [Бондюэль];87;5,3;0,2;16
Фасоль Белая Классическая [Бондюэль];87;5,3;0,2;16
Фасоль Белая на Пару [Бондюэль];91;6,6;1;10,4
Фасоль Зелёная Тонкая на Пару [Бондюэль];31;1,7;0,3;3,7
Фасоль Красная Классическая [Бондюэль];87;5,3;0,2;16
Фасоль Красная на Пару [Бондюэль];111;8,3;0;15,2
Фасоль Стручковая Зеленая Нарезанная [Бондюэль];30;4;0,3;4
Фасулье [Бондюэль];44;2,2;0,4;7
Царская Овощная Смесь [Бондюэль];33;2,2;0,2;5,7
Цветная Капуста [Бондюэль];23;2,2;0,1;5
Цветная капуста замороженная [Бондюэль];14;1,6;0,2;3,9
Чечевица консервированная [Бондюэль];110;8,6;0,6;17,5
Чечевица на Пару [Бондюэль];107;8,5;0,7;14,2
Шампиньоны [Бондюэль];49;2,6;0,5;6,8
Шампиньоны Маринованные [Бондюэль];47;2,3;0,5;7,2
Шампиньоны по-Нормандски [Бондюэль];69;2;4,9;2,5
Шампиньоны Резаные [Бондюэль];19;2,2;0,4;0,6
Шампиньоны резаные замороженные [Бондюэль];22;2,4;0;3,7
Шампиньоны Целые [Бондюэль];16;2,3;0,5;0,5
Шпинат в листьях [Бондюэль];30;3,6;0,5;2,7
Шпинат в листьях консервированный [Бондюэль];22;2,8;0,4;1,8
Шпинат в листьях порционный [Бондюэль];27;3,7;0,5;2
Шпинат рубленый в галетах [Бондюэль];27;2,8;0,7;2,5
