Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Кафельник, приготовленный на жару;147;24,49;4,69;0
Кафельник, сырой;96;17,5;2,31;0
Кета;127;19;5,6;0
Кета в томатном соусе, консервы;168;19,7;8,2;4,1
Кета натуральная, консервы;129;21,5;4,8;0
Кета соленая;184;24,3;9,6;0
Кета, консервированная без соли, сухой продукт без маринада с костями;141;21,43;5,5;0
Кета, приготовленная на жару;154;25,82;4,83;0
Кета, сухой продукт без маринада с костями;141;21,43;5,5;0
Кета, сушеная, (Аляска);378;62,09;14,38;0
Кета, сырая;120;20,14;3,77;0
Кета, сырая, (Аляска);116;20,69;3,67;0
Кефаль холодного копчения;199;23,8;11,5;0
Кижуч;140;21,6;6;0
Кижуч (серебряный лосось), сырой, (Аляска);140;22,56;5,57;0
Кижуч консервированный;140;17,9;7,4;0
Кижуч, дикий, приготовленный на жару;139;23,45;4,3;0
Кижуч, дикий, приготовленный на пару;184;27,36;7,5;0
Кижуч, дикий, сырой;146;21,62;5,93;0
Кижуч, разведенный на ферме, приготовленный на жару;178;24,3;8,23;0
Кижуч, разведенный на ферме, сырой;160;21,27;7,67;0
Килька балтийская;137;14,1;9;0
Килька балтийская горячего копчения;162;21,3;8,5;0
Килька балтийская соленая;137;17,1;7,6;0
Килька каспийская;192;18,5;13,1;0
Килька соленая с картофелем и маслом, по 1-100;192;11,3;12,2;9,2
Килька соленая с луком и маслом, по 1-98;169;10;13,8;1,1
Китовое мясо;119;22,5;3,2;0
Китовые, белуга, мясо сушеное (Аляска);327;69,86;5,34;0
Китовые, белуга, мясо сырое (Аляска);111;26,5;0,5;0
Китовые, белуга, плавник сырой (Аляска);271;19;21,7;0
Клыкач;203;14,4;16,1;0
Корифена, приготовленная на жару;109;23,72;0,9;0
Корифена, сырая;85;18,5;0,7;0
Корюшка зубастая, азиатская;102;15,4;4,5;0
Корюшка, сушеная, (Аляска);386;56,19;17,9;0
Котлеты из трески, по 1-380;164;12,6;5,9;15
Краб дандженесский, приготовленный на пару;110;22,32;1,24;0,95
Краб дандженесский, сырой;86;17,41;0,97;0,74
Краб камчатский (мясо);82;18,2;1;0
Краб камчатский, приготовленный на пару;97;19,35;1,54;0
Краб камчатский, сырой;84;18,29;0,6;0
Краб синий, консервированный;83;17,88;0,74;0
Краб синий, крабовые пироженные;155;20,21;7,52;0,48
Краб синий, приготовленный на пару;83;17,88;0,74;0
Краб синий, сырой;87;18,06;1,08;0,04
Краб-стригун, приготовленный на пару;115;23,72;1,51;0
Краб-стригун, сырой;90;18,5;1,18;0
Крабовое мясо из сурими (искуственное), крабовые палочки;95;7,62;0,46;14,5
Крабы консервированные;85;18,7;1,1;0
Красноглазка;126;21,9;4,2;0
Красноперка дальневосточная;100;18,3;3;0
Креветка антарктическая (мясо) варено-мороженая;98;20,5;1,6;0,3
Креветка антарктическая натуральная. Консервы;82;17,7;1,1;0,3
Креветка дальневосточная (мясо);87;18,3;1,2;0,8
Креветка дальневосточныя натуральная, консервы;134;28,7;1,2;2,2
Креветка приготовленная;99;23,98;0,28;0,2
Креветка сырая;85;20,1;0,51;0
Креветка, все виды, консервированная;100;20,42;1,36;0
Креветка, все виды, обжаренная в панировке;242;21,39;12,28;11,07
Креветка, все виды, приготовленная на пару;119;22,78;1,7;1,52
Креветка, все виды, сырая;71;13,61;1,01;0,91
Креветочное мясо из сурими (искусственное);101;12,39;1,47;9,13
Кубера;96;20,3;1,6;0
Кумжа, все виды, приготовленная на жару;133;21,46;4,63;0
Кумжа, все виды, сырая;104;16,74;3,61;0
Курок;71;15,8;0,9;0
Лангуст (мясо шеек);77;18,4;0,4;2,43
Лангуст, все виды, приготовленный на пару;143;26,41;1,94;3,12
Лангуст, все виды, сырой;112;20,6;1,51;2,43
Ледяная рыба;91;17,7;2,2;0
Лемонема;67;15,9;0,4;0
Летрин;84;20,2;0,4;0
Лещ;105;17,1;4,4;0
Лещ в томатном соусе. Консервы;124;15,3;5,1;4
Лещ вяленый;221;42;5,9;0
Лещ горячего копчения;172;32,8;4,5;0
Лещ каспийский соленый;144;25,2;4,8;0
