Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
"Говядина отборная, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", обжаренная на гриле";228;24,7;13,59;0
"Говядина отборная, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", сырая";182;18,75;11,33;0
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 0"", жареная";217;30,21;9,71;0
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 1/8"", жареная";273;26,43;17,78;0
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 1/8"", обжаренная";331;23,9;25,39;0
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 1/8"", сырая";246;19,82;17,88;0
Говядина отборная, вырезка, постное мясо, жареная;211;30,45;9,03;0
"Говядина отборная, короткий филей, мясо с жиром убранным до уровня 0"", жареная";233;28,19;12,51;0
"Говядина отборная, короткий филей, мясо с жиром убранным до уровня 1/8"", жареная";278;26,16;18,45;0
"Говядина отборная, короткий филей, мясо с жиром убранным до уровня 1/8"", сырая";237;19,32;17,1;0
Говядина отборная, короткий филей, постное мясо, жареная;211;29,22;9,52;0
"Говядина отборная, кострец,  мясо с жиром убранным до уровня 0"", жареная";221;25,66;12,36;0
"Говядина отборная, кострец,  мясо с жиром убранным до уровня 0"", сырая";174;20,64;9,51;0
Говядина отборная, кострец, постное мясо, обжаренная;193;26,34;9,73;0
Говядина отборная, кострец, постное мясо, сырая;154;21,17;7,06;0
"Говядина отборная, лопаточная мякоть, мясо с жиром убранным до уровня 0"",тушеная";306;26,39;21,48;0
"Говядина отборная, лопаточная мякоть, мясо с жиром убранным до уровня1/8"", сырая";268;16,98;21,31;0,97
"Говядина отборная, лопаточная мякоть, мясо с жиром убранным до уровня1/8"", тушеная";359;26,37;27,26;0
Говядина отборная, лопаточная мякоть, постное мясо,тушеная;231;30,45;11,14;0
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 0"", жареная";170;30,12;4,62;0
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 0"", тушеная";216;35,62;7,09;0
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", жареная";224;30,7;10,27;0
