Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
"Пшеничная крупа ""Полтавская""";329;11,5;1,3;67,9
Пшеничная мука высшего сорта из мягкой пшеницы;334;10,3;1,1;70,6
Пшеничная мука высшего сорта, 10% белка, неотбеленная, обогащенная;366;9,71;1,48;73,82
Пшеничная мука высшего сорта, 10% белка, отбеленная, необогащенная;366;9,71;1,48;73,82
Пшеничная мука высшего сорта, 10% белка, отбеленная, обогащенная;366;9,71;1,48;73,82
Пшеничная мука высшего сорта, 11,5% белка, неотбеленная, обогащенная;363;11,5;1,45;71,41
Пшеничная мука высшего сорта, 11,5% белка, отбеленная, необогащенная;363;11,5;1,45;71,41
Пшеничная мука высшего сорта, 11,5% белка, отбеленная, обогащенная;363;11,5;1,45;71,41
Пшеничная мука высшего сорта, 13% белка, отбеленная, необогащенная;362;13,07;1,38;69,8
Пшеничная мука высшего сорта, 13% белка, отбеленная, обогащенная;362;13,07;1,38;69,8
Пшеничная мука высшего сорта, 15% белка, отбеленная, необогащенная;362;15,33;1,41;67,48
Пшеничная мука высшего сорта, 15% белка, отбеленная, обогащенная;362;15,33;1,41;67,48
Пшеничная мука высшего сорта, 9% белка, отбеленная, необогащенная;367;8,89;1,43;74,92
Пшеничная мука высшего сорта, 9% белка, отбеленная, обогащенная;367;8,89;1,43;77,32
Пшеничная мука высшего сорта, кондитерская, обогащенная;362;8,2;0,86;76,33
Пшеничная мука высшего сорта, смесь для тортильи, обогащенная;405;9,66;10,63;67,14
Пшеничная мука высшего сорта, универсальная, необогащенная;364;10,33;0,98;73,61
Пшеничная мука высшего сорта, универсальная, обогащенная кальцием;364;10,33;0,98;73,61
Пшеничная мука высшего сорта, универсальная, обогащенная, неотбеленная;364;10,33;0,98;73,61
Пшеничная мука высшего сорта, универсальная, обогащенная, отбеленная;364;10,33;0,98;73,61
Пшеничная мука высшего сорта, универсальная, обогащенная, самоподнимающаяся;354;9,89;0,97;71,52
Пшеничная мука высшего сорта, хлебопекарная, обогащенная;361;11,98;1,66;70,13
Пшеничная мука цельнозерновая;340;13,21;2,5;61,27
Пшеничная мука цельнозерновая из мягкой пшеницы;332;9,61;1,95;61,38
Пшеничная мука, второго сорта;324;11,7;1,81;63,7
Пшеничная мука, высшего сорта;334;10,8;1,3;69,9
Пшеничная мука, высшего сорта, витаминизированная;334;10,3;1,1;68,9
Пшеничная мука, обойная;312;11,5;2,2;61,5
Пшеничная мука, первого сорта;329;11,1;1,5;67,8
Пшеничная мука, первого сорта, витаминизированная;331;10,6;1,3;67,6
Пшеничная мука, хлебопекарная, необогащенная;361;11,98;1,66;70,13
Пшеничные зародыши, сырые;360;23,15;9,72;38,6
Пшеничные отруби;165;16;3,8;16,6
Пшеничные отруби, сырые;216;15,55;4,25;21,71
Пшенная каша по 1-278;109;2,8;3,4;16,8
Пшенная крупа, пшено шлифованное;342;11,5;3,3;66,5
Пшенная мука;382;10,75;4,25;71,62
Пшено (просо) воздушное;354;13;3,4;77,3
Пшено, приготовленное;119;3,51;1;22,37
Пшено, сырое;378;11,02;4,22;64,35
Ржаная мука, обдирная;298;8,9;1,7;61,8
Ржаная мука, обдирная;349;10,88;1,52;63,63
Ржаная мука, обойная;294;10,7;1,9;58,5
Ржаная мука, обойная;325;15,91;2,22;44,83
Ржаная мука, сеяная;305;6,9;1,4;66,3
Ржаная мука, сеяная;357;9,82;1,33;68,68
Ржаные отруби;114,2;12,2;3,4;8,7
Рис белый длиннозерный, быстроразваривающийся, обогащенный, приготовленный;124;2,18;0,5;26,16
Рис белый длиннозерный, быстроразваривающийся, обогащенный, сухой;380;7,82;0,94;80,42
Рис белый длиннозерный, обогащенный, приготовленный;130;2,69;0,28;27,77
Рис белый длиннозерный, обогащенный, приготовленный с солью;130;2,69;0,28;27,77
Рис белый длиннозерный, обогащенный, сухой;365;7,13;0,66;78,65
Рис белый длиннозерный, приготовленный без соли;130;2,69;0,28;27,77
Рис белый длиннозерный, приготовленный с солью;130;2,69;0,28;27,77
Рис белый длиннозерный, пропаренный, обогащенный, приготовленный;123;2,91;0,37;25,15
Рис белый длиннозерный, пропаренный, обогащенный, сухой;374;7,51;1,03;79,09
Рис белый длиннозерный, пропаренный, приготовленный;123;2,91;0,37;25,15
Рис белый длиннозерный, сухой;365;7,13;0,66;78,65
Рис белый длиннозерный, сухой;374;7,51;1,03;79,09
Рис белый клейкий (азиатский), приготовленный;97;2,02;0,19;20,09
Рис белый клейкий (азиатский), сухой;370;6,81;0,55;78,88
Рис белый короткозерный, обогащенный, приготовленный;130;2,36;0,19;28,73
Рис белый короткозерный, обогащенный, сухой;358;6,5;0,52;76,35
Рис белый короткозерный, приготовленный;130;2,36;0,19;28,73
Рис белый короткозерный, сухой;358;6,5;0,52;79,15
Рис белый приготовленный на пару (Китайская кухня);151;3,2;0,27;32,98
Рис белый среднезерный, обогащенный, приготовленный;130;2,38;0,21;28,29
Рис белый среднезерный, обогащенный, сухой;360;6,61;0,58;77,94
Рис белый среднезерный, приготовленный;130;2,38;0,21;28,59
Рис белый среднезерный, сухой;360;6,61;0,58;79,34
Рис белый, крупа рисовая;333;7;1;74
Рис дикий (черный, индейский рис, цициания), приготовленный;101;3,99;0,34;19,54
Рис дикий (черный, индейский рис, цициания), сухой;357;14,73;1,08;68,7
Рис желтый со специями, сухая смесь;343;7,02;1,75;72,88
Рис коричневый (нешлифованный) длиннозерный, приготовленный;123;2,74;0,97;23,98
Рис коричневый (нешлифованный) длиннозерный, сухой;367;7,54;3,2;72,65
Рис коричневый (нешлифованный) среднезерный, приготовленный;112;2,32;0,83;21,71
Рис коричневый (нешлифованный) среднезерный, сухой;362;7,5;2,68;72,77
Рис коричневый (нешлифованный), пропаренный, приготовленный, UNCLE BENS;147;3,09;0,85;29,63
Рис коричневый (нешлифованный), пропаренный. сухой, UNCLE BEN'S;370;7,6;2,75;75,18
Рис крем, дроблёный рис быстрорастворимый, приготовленный на воде с солью;52;0,9;0,1;11,4
Рис крем, дроблёный рис быстрорастворимый, сухой;370;6,3;0,5;81,7
Рис, зерно цельное необработанное;303;7,5;2,6;62,3
Рисовая запеканка по 1-288;144;4;5,6;19,4
Рисовая запеканка с творогом по 1-288;189;5,1;7,1;26,1
Рисовая каша по 1-268;144;2,4;3,5;25,8
Рисовая лапша, приготовленная;108;1,79;0,2;23,01
Рисовая лапша, сухая;364;5,95;0,56;78,58
Рисовая мука диетическая;356;7,4;0,6;80,2
Рисовая мука, белая;366;5,95;1,42;77,73
Рисовая мука, коричневая;363;7,23;2,78;71,88
Рисовые отруби, сырые;316;13,35;20,85;28,69
Рожь молотая жареная;322;7,9;1,7;68,7
Рожь, зерно;338;10,34;1,63;60,76
Рожь, зерно цельное необработанное;283;9,9;2,2;55,8
Сорго;323;10,6;4,12;59,6
Сорго;329;10,62;3,46;65,39
Спагетти со шпинатом, приготовленные;130;4,58;0,63;26,15
Спагетти со шпинатом, сухие;372;13,35;1,57;64,21
Спагетти, обогащенные протеином, приготовленные;164;8,86;0,21;28,88
Спагетти, обогащенные протеином, сухие;374;21,78;2,23;63,25
Сухой завтрак,  MALT-O-MEAL, обычный, сухой;361;11,8;1,27;75,6
Сухой завтрак, CREAM OF WHEAT, обычный, приготовленный на воде, без соли;50;1,44;0,21;10,52
Сухой завтрак, CREAM OF WHEAT, обычный, сухой;370;10,5;1,5;76,5
Сухой завтрак, готовый к употреблению, GENERAL MILLS TOTAL, Cranberry Crunch;328;6,9;1,72;78
Сухой завтрак, готовый к употреблению, GENERAL MILLS, Curves Fruit & Nut Crunch cereal;347;6,12;3,06;85,44
Сухой завтрак, готовый к употреблению, GENERAL MILLS, DORA THE EXPLORER;366;5,6;5,7;82,8
Сухой завтрак, готовый к употреблению, GENERAL MILLS, Fruity CHEERIOS;383;5,2;5,2;84,2
Сухой завтрак, готовый к употреблению, GENERAL MILLS, OATMEAL CRISP with Almonds;393;9,8;6,7;78,9
Сухой завтрак, готовый к употреблению, KELLOGG'S SPECIAL K Chocolatey Delight;381;6,5;7,3;81,2
Сухой завтрак, готовый к употреблению, QUAKER, QUAKER OAT CINNAMON LIFE;373;9,01;4,05;79,16
Сухой завтрак, готовый к употреблению, WEETABIX WHOLE WHEAT CEREAL;373;11,5;2,8;77,4
Сухой завтрак, готовый к употреблению, воздушная пшеница подслащенная, любой бренд;390;5,8;1,3;90,7
Сухой завтрак, готовый к употреблению, колца со вкусом шоколада, подслащенные, любой бренд;415;4,8;8,8;81,9
Сухой завтрак, готовый к употреблению, овес и кукуруза и пшеница, квадратики, подслащенные, с кленовым вкусом;430;6;9,8;79,9
