Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Кантрибургер [Макдоналдс];306;15;11;36
Капучино (0,2 L) [Макдоналдс];78;3,6;4,4;5,9
Капучино (0,3 L) [Макдоналдс];123;5,7;6,9;9,4
Капучино без Сахара (0,3 L) [Макдоналдс];89;4,5;4,5;7,5
Капучино Большой (0,3 L) [Макдоналдс];114;5,6;6,4;8,7
Капучино Гранд (0,4 L) [Макдоналдс];130;6;7;10
Капучино Гранд без Сахара (0,4 L) [Макдоналдс];156;7,2;8,8;12
Капучино Карамель (0,3 L) [Макдоналдс];175;7;6,5;24
Капучино Лесной Орех (0,3 L) [Макдоналдс];175;7;6,5;24
Карри [Макдоналдс];158;0,7;1,3;34,4
Карри Снек Ролл [Макдоналдс];350;12;16;41
Картофель по-Деревенски [Макдоналдс];243;3,4;11;31
Картофель по-деревенски McDonalds [Макдоналдс];330;4;15;42
Картофель фри (большая порция) [Макдоналдс];505;8;26;66
Картофель Фри (Большой) [Макдоналдс];434;5,2;21;54
Картофель Фри (Детская Порция) [Макдоналдс];240;3;12;29
Картофель фри (маленькая порция) [Макдоналдс];235;3;12;29
Картофель Фри (Маленькая) [Макдоналдс];231;2,8;11;29
Картофель фри (стандартная порция) [Макдоналдс];340;5;17;42
Картофель Фри (Стандартный) [Макдоналдс];330;3,9;16;41
Картофель фри McDonalds (большая порция) [Макдоналдс];445;5;22;54
Картофель фри McDonalds (маленькая порция) [Макдоналдс];240;3;12;29
Картофель фри McDonalds (средняя порция) [Макдоналдс];340;5;17;42
Картофель Фри Маленький [Макдоналдс];240;3;12;29
Картофельные Дипы [Макдоналдс];361;5;17;44
Картофельный Оладушек [Макдоналдс];132;1,3;7,7;14
Картошка по-Бельгийски [Макдоналдс];204;1,8;14;18
Картошка по-Деревенски [Макдоналдс];331;4,6;15;42
Картошка по-Техасски Фри [Макдоналдс];436;8,7;25;43
Картошка Фри [Макдоналдс];240;3;12;29
Картошка Фри Средняя Порция [Макдоналдс];330;3,9;16;41
Кетчуп [Макдоналдс];36;0,5;0,1;6,2
Кленовый Пекан [Макдоналдс];340;4;23;29
Клюква и Изюм [Макдоналдс];63;0,3;0;16
Кока-Кола (0,25 L) [Макдоналдс];110;0;0;27
Кока-Кола (0,4 L) [Макдоналдс];170;0;0;42
Кока-Кола (0,5 L) [Макдоналдс];210;0;0;53
Кока-Кола Лайт [Макдоналдс];2;0,3;0;0
Кока-Кола Макфизз Ваниль (0,4 L) [Макдоналдс];127;0;0;32
Коктейль ванильный [Макдоналдс];400;10;10;68
Коктейль ванильный McDonalds 400 мл [Макдоналдс];385;9;7;71
Коктейль Клубничный [Макдоналдс];385;9;7;71
Коктейль клубничный McDonalds 400 мл [Макдоналдс];385;9;7;71
Коктейль Молочный Дольче Малина [Макдоналдс];235;5,7;4,3;44
Коктейль Шоколадный [Макдоналдс];395;10;8;70
Коктейль шоколадный McDonalds 400 мл [Макдоналдс];395;10;8;70
Кофе (0,2 L) [Макдоналдс];7;0,6;0,2;0,6
Кофе (0,3 L) [Макдоналдс];10;0,9;0;0,9
Кофе Глясе (0,3 L) [Макдоналдс];123;3,6;3,3;20
Кофе Гляссе [Макдоналдс];125;4;3;19
Кофе Латте [Макдоналдс];132;6,1;7,4;10
Кофе Мокко [Макдоналдс];230;9;8;30
Кофе Сливочная Арабика [Макдоналдс];298;6;22;19
Кофе Флэт Уайт (0,3 L) [Макдоналдс];113;5,8;6;8,9
Креветки в Кляре [Макдоналдс];267;12,5;13,5;22,9
Круассан [Макдоналдс];191;3,5;11;19
Круассан с Сыром и Прованскими Травами [Макдоналдс];280;7;17;24
Куриные Крылышки (4) [Макдоналдс];184;20;11;1,5
Куриные Крылышки (6) [Макдоналдс];292;32;16;4,1
Куриные Крылышки (9) [Макдоналдс];415;45;24;3,3
Куриные Крылышки [Макдоналдс];99;6,1;6,5;4,1
Куриные Крылья [Макдоналдс];973;60;63;42
Куриные Наггетсы [Макдоналдс];45;2,8;2,3;3,2
Латте (0,3 L) [Макдоналдс];125;6;7;10
Латте Гранд (0,4 L) [Макдоналдс];130;6,5;7;10
Лимонад Вишня [Макдоналдс];139;0;0;35
Лимонад Гренадин [Макдоналдс];79;0;0;20
Лимонад Гуава [Макдоналдс];140;0,1;0;35
Лимонад Малина [Макдоналдс];139;0;0;35
Лимонный Треугольник [Макдоналдс];130;1,3;6,9;16
Лимонный Чизкейк [Макдоналдс];281;7;17;24
Макарони [Макдоналдс];75;1,1;3,4;9,8
Макзавтрак Блины с джемом [Макдоналдс];303;7;3;57
Макзавтрак Блины с мёдом [Макдоналдс];308;7;3;59
Макзавтрак Блины стандартные [Макдоналдс];235;7;3;45
Макзавтрак двойной МакМаффин с яйцом и свиной котлетой [Макдоналдс];645;36;41;31
Макзавтрак двойной Фреш МакМаффин [Макдоналдс];560;27;35;33
Макзавтрак МакМаффин с яйцом и беконом [Макдоналдс];310;17;14;27
Макзавтрак МакМаффин с яйцом и свиной котлетой [Макдоналдс];435;24;25;27
Макзавтрак МакМаффин с яйцом и сыром [Макдоналдс];275;15;11;27
Макзавтрак МакМаффин со свиной котлетой [Макдоналдс];360;17;20;27
Макзавтрак МакТост [Макдоналдс];255;10;10;30
Макзавтрак МакТост с ветчиной [Макдоналдс];280;14;11;30
Макзавтрак Овсяная каша с джемом [Макдоналдс];200;4;4;35
Макзавтрак Овсяная каша с клюквой и изюмом [Макдоналдс];212;4,3;4;38
Макзавтрак Овсяная каша с мёдом [Макдоналдс];210;4;4;35
Макзавтрак Овсяная каша стандартная [Макдоналдс];150;4;4;23
Макзавтрак Снек Ролл с омлетом и беконом [Макдоналдс];320;16;16;27
Макзавтрак Снек Ролл с омлетом и свиной котлетой [Макдоналдс];435;22;26;27
Макзавтрак Фреш МакМаффин [Макдоналдс];400;18;21;33
Макзавтрак Хашбраун [Макдоналдс];135;1;8;14
Макзавтрак Чикен Фреш МакМаффин [Макдоналдс];365;19;13;41
Макмаффин с Яйцом и Беконом [Макдоналдс];317;18;15;26
Макмаффин с Яйцом и Ветчиной [Макдоналдс];312;20;14;27
Макмаффин с Яйцом и Свиной Котлетой [Макдоналдс];434;25;25;26
Макмаффин с Яйцом и Сыром [Макдоналдс];289;16;13;26
Макмаффин со Свиной Котлетой [Макдоналдс];344;18;18;26
Макпирог Клубничный Чизкейк [Макдоналдс];186;3;7;27
Макпирог с Вишней [Макдоналдс];255;3;13;31
Макпирог Шоколадно-Апельсиновый [Макдоналдс];294;3;14;38
Максанди с Карамелью [Макдоналдс];241;5;5;44
Максанди с Шоколадом [Макдоналдс];243;5,7;6,8;39,5
Мактост [Макдоналдс];255;10;10;30
Мактост с Ветчиной [Макдоналдс];280;14;11;30
Мактост с Ветчиной и Сыром [Макдоналдс];265;14;11;28
Мактост с Грибами и Сыром [Макдоналдс];243;8,8;11;26
Мактост с Сыром [Макдоналдс];240;10;9,7;27
Макфлури Гуава [Макдоналдс];343;6,4;8,2;61
Макфлури Де Люкс Ананас [Макдоналдс];334;6,4;8,2;59
Макфлури Де Люкс Крем-Брюле [Макдоналдс];322;6;6;59
Макфлури Де Люкс Мокко [Макдоналдс];360;7,2;11;57
Макфлури Де Люкс Персик [Макдоналдс];347;6,7;8,2;61
Макфлури Де Люкс с Бисквитом и Карамелью [Макдоналдс];400;7,1;11;67
Макфлури Карамель [Макдоналдс];354;8,1;9;60
Макфлури Карамельный с Вафельно-Шоколадной Крошкой [Макдоналдс];370;7;9,4;64
Макфлури Лесной Орех [Макдоналдс];220;8;6;34
Макфлури с Вафельно-Шоколадной Крошкой [Макдоналдс];270;6;8;43
Макфлури с Шоколадно-Вафельной Крошкой [Макдоналдс];280;6;8;40
Макфлури Сочный Ананас [Макдоналдс];290;5,5;5,6;54
Макфлури Спелая Вишня [Макдоналдс];344;6,4;8,2;61
Макфлури Спелое Манго [Макдоналдс];285;5,5;5,7;53
Макфлури Тирамису [Макдоналдс];343;7;7,6;62
Макфлури Яблочный Пай [Макдоналдс];307;6,5;6,6;55
Макфлурри Де Люкс Грецкий Орех [Макдоналдс];277;5,5;5,6;51
Макфлурри Де Люкс Гуава [Макдоналдс];343;6,4;8,2;61
Макфлурри Де Люкс Карамельно-Шоколадное [Макдоналдс];406;7,1;11;71
Макфлурри Де Люкс Клубнично-Шоколадное [Макдоналдс];345;6,4;8,6;60
Макфлурри Де Люкс Клубничный Бискотти [Макдоналдс];337;6,4;9,4;56
Макфлурри Де Люкс Крем-Брюле [Макдоналдс];322;6,5;6,6;59
Макфлурри Де Люкс Малина [Макдоналдс];294;6,4;8,2;48
Макфлурри Де Люкс Мокко [Макдоналдс];360;7,2;11;57
Макфлурри Де Люкс Персик [Макдоналдс];347;6,7;8,2;61
Макфлурри Де Люкс с Бисквитом и Карамелью [Макдоналдс];400;7,1;11;67
Макфлурри Де Люкс Фисташка [Макдоналдс];268;6,1;7,7;44
Макфлурри Де Люкс Шоколадно-Карамельное [Макдоналдс];406;7,1;11;71
Макфлурри Де Люкс Шоколадно-Клубничное [Макдоналдс];345;6,4;8,6;60
Макфлурри Де Люкс Яблочный Пай [Макдоналдс];307;6,5;6,6;55
Макфлурри с Рисом и Клубникой [Макдоналдс];290;5;6;54
Макфлурри Спелое Манго [Макдоналдс];285;5,5;5,7;53
Макфлурри Шоколадно-Клубничное [Макдоналдс];345;6,4;8,6;60
Макфлэйвор Фрайз [Макдоналдс];414;7,1;20;49
Макфлэйвор Фрайз по Деревенски [Макдоналдс];449;9,5;24;46
Макфреш [Макдоналдс];519;25;31;34
Макчикен [Макдоналдс];484;21;15;62
Макшейк [Макдоналдс];235;7;7;35
Малиновый Лимонад [Макдоналдс];139;0;0;35
Малиновый Пунш (0,3 L) [Макдоналдс];140;0,3;0;35
Малиновый Шейк [Макдоналдс];244;5,7;4,3;45
Маффин с Черной Смородиной [Макдоналдс];370;5;18;47
Маффин с Шоколадом [Макдоналдс];346;5,9;12;55
Маффин с Яблоком и Корицей [Макдоналдс];463;5,8;22;60
Маффин Шоколадный [Макдоналдс];289;4,6;13,7;36,8
Маффин Шоколадный с Черничным Джемом [Макдоналдс];360;5;16;49
Маэстро Биф & Бородинский [Макдоналдс];643;36;40;36
Маэстро Классик [Макдоналдс];686;41;42;37
Микс Бокс [Макдоналдс];858;38;41;83
Молоко 3,5% [Макдоналдс];62;3;3,5;4,7
Молочный Коктейль Ваниль [Макдоналдс];81;2;1,5;15
Молочный Коктейль Ванильный (0,3 L) [Макдоналдс];244;6,1;4,6;45
Молочный Коктейль Ванильный (0,4 L) [Макдоналдс];385;9;7;71
Молочный Коктейль Клубника (0,25 L) [Макдоналдс];244;6,1;4,6;45
Молочный Коктейль Клубничный (0,3 L) [Макдоналдс];244;6,1;4,6;45
Молочный Коктейль Клубничный (0,4 L) [Макдоналдс];385;9;7;71
Молочный Коктейль Шоколадный (0,25 L) [Макдоналдс];247;6,7;5;43
Молочный Коктейль Шоколадный (0,47 L) [Макдоналдс];386;10;7,9;68
Молочный Коктейль Шоколадный (0,47 L) [Макдоналдс];386;10;7,9;68
Молочный Коктейль Шоколадный (0,6 L) [Макдоналдс];493;13;10;87
Морковные Палочки [Макдоналдс];34;1,3;0,1;6,9
Морковные Палочки [Макдоналдс];28;1;0,1;5,5
Морковные палочки McDonalds [Макдоналдс];27;1;0;6
Мороженное с Шоколадом [Макдоналдс];315;6;9;52
Мороженое Гуава [Макдоналдс];257;1,9;4,9;48
Мороженое Карамельное [Макдоналдс];319;5,6;6,9;59
Мороженое Клубничное [Макдоналдс];258;5;4,9;48
Мороженое Макфлури Де Люкс Шоко-Карамель [Макдоналдс];406;7,1;11;71
Мороженое Малина [Макдоналдс];209;4,8;4,9;36
Мороженое Персик [Макдоналдс];260;5,1;4,9;49
Мороженое Рожок [Макдоналдс];164;3,8;3,6;29
Мороженое с Карамелью [Макдоналдс];319;5,6;6,9;59
Мороженое с Клубникой [Макдоналдс];265;5;5;50
Мороженое с Шоколадом [Макдоналдс];315;6;9;52
Мороженое Шоколадное [Макдоналдс];310;6,4;9;51
Мохито Итальано [Макдоналдс];82;0;0;20
Мусс с Бельгийским Шоколадом [Макдоналдс];262;2,4;18;22
Мусс Шоколадный [Макдоналдс];353;3,1;24;29
Наггетс Бокс [Макдоналдс];456;17;22;45
