Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Паста для сэндвичей с порезанными маринованными огурцами на масляной основе;389;0,9;34;22
Перец белый;296;10,4;2,12;42,41
Перец душистый, молотый;263;6,09;8,69;50,52
Перец красный молотый острый;318;12,01;17,27;29,43
Перец черный,  молотый или горошек;251;10,39;3,26;38,65
Петрушка сушеная;292;26,63;5,48;23,94
Пищевая сода;0;0;0;0
Приправа для птицы;307;9,59;7,53;54,29
Приправа для тыквенного пирога;342;5,76;12,6;54,48
Рассол соли;0;0;0;0
Розмарин, свежий;131;3,31;5,86;6,6
Розмарин, сушеный;331;4,88;15,22;21,46
Сельдерей корень сушеный;191;7,8;2;36,6
Сельдерей, семя;392;18,07;25,27;29,55
Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная;160;1,5;14;7
Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, без холестерина;140;1;8;16
Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, обезжиренная;107;1,4;2,7;20
Соевый соус;53;8,14;0,57;4,13
Соевый соус, из гидролизованного овощного белка;60;7;0,51;7,34
Соевый соус, из гидролизованного овощного белка, с пониженным содержанием нартия;90;8,19;0,31;14,14
Соевый соус, с пониженным содержанием нартия;57;9,05;0,3;4,89
Соевый соус, тамари (только из сои, без пшеничной муки);60;10,51;0,1;4,77
Соль поваренная пищевая;0;0;0;0
Соль столовая;0;0;0;0
Соус белый основной по 2-82;56;1;4,1;3,8
Соус грибной по 2-96;82;1,2;6,2;4,8
Соус кисло-сладкий;15;0,1;0;3,7
Соус клюквенный по 2-112;51;0;0;12,6
Соус красный основной по 2-74;48;1,1;2;6,2
Соус луковый по 2-76;75;1,3;4,8;6,1
Соус майонез со сметаной по 2-102;312;2,8;31,9;3,3
Соус маковый, кремовый;399;0,92;33,33;23,43
Соус медово-горчичный;464;0,87;40,83;22,93
Соус медово-горчичный обезжиренный;169;1,07;1,47;37,23
Соус молочный по 2-92;84;2;5,2;7,1
Соус песто, готовый к употреблению, длительного хранения;426;5;42,42;4,44
Соус песто, готовый к употреблению, охлажденный;418;9,83;37,6;8,29
Соус польский по 2-98;78;2,6;6,1;3
Соус с хреном по 2-104;27;0,7;0,1;4,2
Соус сметанный по 2-94;78;1,9;5,2;5,7
Соус Табаско с остым перцем;12;1,29;0,76;0,2
Соус томатный острый;99;2,5;0;21,2
Соус томатный по 2-84;80;1,7;4,5;7,8
Соус черносмородиновый по 2-110;275;0,3;0,1;67,6
Соус чили шрирача;93;1,93;0,93;16,96
Тимьян, свежий;101;5,56;1,68;10,45
Тимьян, сушеный;276;9,11;7,43;26,94
