Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Пирог с Капустой и Яйцом [Пятерочка];257;8;14;25
Пирожок Домашний с Картофелем [Пятерочка];118;3;1,5;23
Пирожок Дрожжевой с Черникой [Пятерочка];301;4,6;14,1;38,5
Пирожок с Капустой [Пятерочка];229;4,9;6,2;38,5
Пирожок с Картошкой [Пятерочка];229;5,2;7;36
Пирожок с Мясом/Картофелем [Пятерочка];315;9,9;19,6;24,8
Пирожок с Сосиской [Пятерочка];370;8;25;27
Пицца с Ветчиной [Пятерочка];259;10;11;30
Помело [Пятерочка];32;0,6;0,2;6,7
Помидоры [Пятерочка];20;1,1;0,2;3,7
Пончик [Пятерочка];430;6,5;27;39
Пончики Берлинские [Пятерочка];420;7,5;23;47
Пончики Берлинские с Варёной Сгущёнкой [Пятерочка];460;7,5;22;58
Пончики Берлинские с Шоколадным Муссом [Пятерочка];470;6,5;26;51
"Пончики с Кремом ""Берлинские"" [Пятерочка]";470;7;21;65
Редис [Пятерочка];19;1,2;0,1;3,4
Ржаной Багет с Чесноком [Пятерочка];303;6,7;11;45
Рис с Курицей и Овощами [Пятерочка];90;6,6;3,5;8,5
Рожок с Сосиской [Пятерочка];270;7;14;29
Розан с Абрикосом [Пятерочка];304;3,1;12,5;44,6
Розан со Смородиной [Пятерочка];289;3,3;12,5;40,8
Рулет Куриный [Пятерочка];228;24,3;14;0
Салат из Спаржи [Пятерочка];200;15;15;1
Салат Столичный [Пятерочка];210;5,7;5,3;10,4
Самса с Говядиной [Пятерочка];318;9;18;29
Самса с Курицей [Пятерочка];360;8,5;17;41
Самса с Мясом [Пятерочка];235;8,1;9,3;29,7
Сахар [Пятерочка];400;0;0;100
Свекла [Пятерочка];43;1,5;0,1;8,8
Семга Норвежская [Пятерочка];164;16,5;10,9;0
Семечки [Пятерочка];660;25,5;65,3;5,8
Скумбрия Холодного Копчения [Пятерочка];150;23,4;6,4;0
Сливы [Пятерочка];42;0,8;0,3;9,6
Слойка Дрожжевая с Вишней [Пятерочка];301;4,6;14,1;38,5
Слойка с Абрикосом [Пятерочка];301;4,6;14,1;38,5
Слойка с Адыгейским Сыром и Зеленью [Пятерочка];280;13;9;38
Слойка с Говядиной [Пятерочка];320;9;21;24
Слойка с Капустой [Пятерочка];337;5,7;21;30
Слойка с Картофельной Начинкой [Пятерочка];293;4,7;14,9;34,2
