Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Конфета Ярче [Яшкино];533;6,7;30,3;58,5
Конфета Яшкинская Картошка [Яшкино];533;7,8;12,5;53,7
"Конфеты ""Загорская Сливочная"" [Яшкино]";320;2;3,5;68
"Конфеты ""Чио Рио"" [Яшкино]";315;2;19,2;33,6
Конфеты Belucci [Яшкино];430;1,5;20;61
Конфеты Elle с Шоколадно-Ореховой Начинкой [Яшкино];530;4,5;28;65
Конфеты Glaze [Яшкино];383;2,2;7,7;76
Конфеты Белая Черемуха [Яшкино];380;2,5;14,2;63,8
Конфеты Бон Тайм [Яшкино];438;2,4;15,4;38,6
Конфеты Версаль [Яшкино];410;2,5;11;77
Конфеты Глэйс [Яшкино];410;2;12;73
Конфеты Желейные Эки-Боки [Яшкино];310;2;0;76
Конфеты Крокант [Яшкино];396;5,6;38,1;48,9
Конфеты Нильс [Яшкино];392;0;0,1;96,2
Конфеты Фэнси [Яшкино];320;0,9;7,4;71,3
Конфеты Ярче [Яшкино];478;10,3;24,4;53
Конфеты Яшкинская Картошка [Яшкино];486;5,4;29,6;49,7
"Крекер ""Золотая Рыбка"" [Яшкино]";440;9;14;71
Крекер Визит Нежности [Яшкино];460;8;20;62
Крекер Поляна Сказок [Яшкино];470;7,5;21;62
Крекер с Кунжутом [Яшкино];510;8,5;24;66
Крекер с Солью [Яшкино];450;9;15;67
Крекер с Сыром [Яшкино];480;9;21;62
Крекер с Томатом и Базиликом [Яшкино];460;9;18;63
Крекер со Злаками [Яшкино];440;9,5;19;61
Крекер Французский [Яшкино];490;8;23;62
Крекер Французский с Кунжутом [Яшкино];510;8,5;24;66
Крендельки Бретцель с Солью [Яшкино];410;9,5;11;69
Крендельки с Солью [Яшкино];410;9,5;11;69
Крокант [Яшкино];560;6,5;37,7;49,7
Крокант с Миндалем [Яшкино];556;6,6;37,1;49,7
Круасан [Яшкино];180;3;9;22
Круассан с Вареной Сгущенкой [Яшкино];410;6;20;49
Круассан с Вишнёвым Джемом [Яшкино];400;5;17;54
Круассан с Шоколадным Кремом [Яшкино];440;7;22;53
Круассан со Сливочным Кремом [Яшкино];410;6;20;50
Леденцы с Соком [Яшкино];362;0;0;96
Мармелад Сердечки [Яшкино];290;0,5;0;71
Мармелад Фруктовый Микс [Яшкино];310;2;0;76
Мармелад Эки-Боки [Яшкино];310;2;0;76
Мини Батончик Зебра-Мини [Яшкино];470;6,5;24;58
Мини Круассаны [Яшкино];428;5,2;20,4;52,4
Мини Круассаны с Вареной Сгущенкой [Яшкино];430;6,5;22;51
Мини Круассаны с Клубничным Джемом [Яшкино];410;5,5;17;59
Мини Круассаны с Шоколадным Кремом [Яшкино];430;7;22;53
Мини Круассаны с Шоколадом [Яшкино];440;7;22;53
Мини Круассаны со Сливочным Кремом [Яшкино];430;6,5;21;54
Мини-Рулет [Яшкино];126;1,8;4,6;19,6
Мини-Рулет Клубничный [Яшкино];390;5;15;59
Мини-Рулет с Варёной Сгущёнкой [Яшкино];370;5;14;57
Мини-Рулет с Варёной Сгущёнкой [Яшкино];370;5;14;57
Молочный Шоколад [Яшкино];530;5;30;59
Молочный Шоколад Клубника и Йогурт [Яшкино];570;5;38;51
Молочный Шоколад Кокосовый Мусс [Яшкино];570;4,5;36;56
Молочный Шоколад Ореховый Мусс [Яшкино];570;4;38;53
Молочный Шоколад с Ананасом [Яшкино];505;4,5;26;63
Молочный Шоколад с Арахисом [Яшкино];560;11;37;45
Молочный Шоколад с Бисквитными Шариками [Яшкино];510;5,5;27;61
Молочный Шоколад с Грушей [Яшкино];380;2,5;15;58
Молочный Шоколад с Дробленым Фундуком [Яшкино];545;6,5;33;55
Молочный Шоколад с Дробленым Фундуком и Изюмом [Яшкино];525;6;31;55
Молочный Шоколад с Изюмом и Арахисом [Яшкино];520;8,5;30;54
Молочный Шоколад с Карамелизированным Дробленым Фундуком [Яшкино];554;6,2;35,6;52,3
Молочный Шоколад с Карамельной Начинкой [Яшкино];560;5,5;34;57
Молочный Шоколад с Кокосовой Начинкой [Яшкино];570;4,5;36;56
Молочный Шоколад с Крекером Рыбки [Яшкино];515;5,5;28;60
Молочный Шоколад с Начинкой Груша [Яшкино];420;3;17;64
Молочный Шоколад с Начинкой Карамель [Яшкино];560;5,5;34;57
Молочный Шоколад с Цельным Фундуком [Яшкино];570;8;39;47
Молочный Шоколад с Черносливом и Кукурузными Хлопьями [Яшкино];570;6;37;53
Молочный Шоколад с Шоколадно-Банановой Начинкой [Яшкино];560;3,5;35;57
Мука Цельнозерновая [Яшкино];312;11,5;2,2;61,5
Мягкие Вафли [Яшкино];500;7;31;45
Мягкие Вафли с Вареной Сгущенкой [Яшкино];430;6;22;49
Мягкие Вафли с Вишневым Джемом [Яшкино];390;4,5;15;60
Мягкие Вафли с Кремом Вареная Сгущенка [Яшкино];400;6;20;50
Мягкие Вафли с Шоколадным Кремом [Яшкино];400;6;20;48
Мягкие Вафли со Сгущенкой [Яшкино];410;6;20;49
Немецкий Бретцель [Яшкино];410;9,5;11;69
Овсяное Печенье Сдобное [Яшкино];460;6;18;69
Оладушки [Яшкино];300;5;9;50
