Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Пудинг на сметане;254,3;5,8;15,3;24,9
Пудинг ореховый;229,4;7,1;7,7;35,1
Пудинг рисовый, манный, пшенный;189,6;3,4;5,1;34,7
Пудинг с грушами;131,2;3,6;3,5;22,7
Пудинг сливочный с орехами;307,1;7,6;20;25,6
Пудинг сухарный;213,3;6,4;5,1;37,8
Ревень с сахаром;99,6;0,5;0,08;25,8
Ревень с сухарями и сливками;100,4;1,4;6,5;9,8
Самбук абрикосовый;115,1;2;0,07;28,4
Самбук из абрикосов;86,5;1,7;0,06;21,1
Самбук яблочный или сливовый;90,3;1,8;0,2;21,6
Сгущенка по-русски;120,4;2,3;2,5;23,7
Сельдерей на десерт;0;0;0;0
Сладкий молочный соус;84,1;3,4;2,8;12,1
Сладкое блюдо из риса и творога;236,4;11,1;5,7;37,6
Сливки или сметана взбитые;231,3;2,4;17,3;17,5
Сливовый соус;42,4;0,09;0,03;11,1
Смородина с медом и миндалем;191,4;2,6;7,2;31
"Смородиновый ""снег""";111,5;1,3;0,1;28,1
Снежки;138,2;4;3,7;23,7
Соус абрикосовый;250,9;0,5;0,06;66,2
Соус земляничный или малиновый, или вишневый;244,5;0,5;0,2;64,1
Соус из брусники и сыра;208,5;9,1;16,3;6,8
Соус из изюма и миндаля;144,2;4,4;6,8;17,4
Соус из какао;95,9;3,9;3,5;13
Соус из крыжовника;35;0,4;0,2;8,5
Соус из яблок и брусники;174,9;0,3;0,3;45,7
Соус клюквенный;67,3;0,08;0,03;17,8
Соус сметанный;382;3,3;35,3;13,7
Соус яблочный;61,1;0,1;0,09;16
Суфле;203,2;5,4;12,2;19,1
Суфле ванильное, шоколадное, ореховое;212,1;5,6;13,5;18,2
Сырники с морковью;248;9,6;14,1;22,1
Творог апельсиновый;196,8;6,1;11,7;17,8
Творожный соус;118,8;8,4;7,7;4,2
"Торт ""Вишня в сотах""";234,2;3,5;15;22,7
"Торт ""Катерина""";381,2;4,7;22,9;41,6
"Торт ""Медовый""";322,7;3,7;16,6;42,4
"Торт ""Мужской идеал""";307,8;6,7;8,7;54,1
"Торт ""Негр""";268,7;4,4;15,4;29,9
"Торт ""Почти ""Прага""";350,9;4,2;20,5;39,9
"Торт ""Прага""";283,5;5,9;12,6;39
"Торт ""Снежная горка""";150,1;1;11,4;11,6
"Торт ""Шоколадная мазурка""";301,4;7,6;7,6;54
Торт бисквитный с орехами;355,3;11,4;15;46,5
Торт Зебра»;270,8;8,5;12,9;32
Торт из картофеля с творогом;169;9,1;3,9;25,9
Торт из тыквы;212,5;2,6;14,5;19
Торт картофельный;190,5;5,6;5,7;31,2
Торт печёночный;200;8,1;14,5;10
Торт Прага»;326,4;6,5;17,3;38,7
Торт Черный принц»;14,8;0,2;1,1;1,2
Тыква с орехами;111,4;3,6;0,07;25,8
Тыква с ревенем;51,7;0,8;0,09;12,8
Тыква с фруктами;81,1;1,7;2,4;14,1
Тыква, запеченная с фруктами, по-ижевски (удмуртское национальное блюдо);106,8;1,5;3,7;17,9
Тыквенный крем;144,8;4;11,2;7,4
Фаршированные яблоки;58,1;3,3;1,9;7,5
Фруктовый маседуан;205,3;0,4;0,1;54
Холодное из абрикосов;127;1,8;10,8;6
Чернослив со сливками или сметаной взбитыми;271,8;2,5;12,6;39,6
Шоколадное мороженое;268,7;4,4;15,8;29,1
Шоколадный крем;272,4;3,8;12,7;38,1
Шоколадный пудинг;192,4;4,5;9,3;24,2
Шоколадный соус;139,9;2,8;7,7;16
