Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Беляш с Мясом [Ашан];402;11,6;24,2;33,7
Бефстроганов из Телятины [Ашан];100;19,5;2,5;0
Био Овощной Суп-Пюре [Ашан];25;1;1;2,7
Био Соевый Натуральный Напиток [Ашан];36;3,5;2;1
Био-Йогурт 1% [Ашан];40;3,2;1;4
Био-Йогурт Инжир-Чиа [Ашан];83;3,3;2;13
Био-Йогурт Малина [Ашан];83;3,3;2;13
Био-Йогурт Чернослив-Злаки [Ашан];83;3,3;2;13
Биойогурт [Ашан];40;3,2;1;4
Биокефир 1% [Ашан];36;3,1;1;3,6
"Бисквитное Пирожное ""Какао-Молоко"" [Ашан]";435;5,8;21,9;52,9
Бисквитные Палочки [Ашан];519;6,4;27,1;61,2
Бифидум Бактерин [Ашан];49;2,9;2,5;3,9
Бифидус Натуральный [Ашан];64;3,8;3,5;4,3
"Бифштекс Говяжий ""Фермерский"" [Ашан]";160;18;10;0
Бифштекс Говяжий [Ашан];160;18;10;0
Бифштекс из Говядины [Ашан];107;20;3;0
Бифштекс из Мраморной Говядины [Ашан];180;18;12;0
Бифштекс с Беконом по-Итальянски Фермерский [Ашан];190;14;15;0
Бифштекс с Яйцом [Ашан];326;26,1;24;1,6
Блинчики без Начинки [Ашан];206;8;4,7;32,9
Блинчики с Абрикосовой Начинкой [Ашан];221;4,4;3,3;43,5
Блинчики с Варёной Сгущёнкой [Ашан];292;5,7;11,7;40,9
Блинчики с Ветчиной и Сыром [Ашан];198;9,8;11,3;13,8
Блинчики с Вишневой Начинкой [Ашан];137;2,6;1,1;29,5
Блинчики с Вишней [Ашан];187;3,8;2,2;38,1
Блинчики с Курицей [Ашан];212;11;8,4;23,2
Блинчики с Мясом [Ашан];253;12;11,7;25
Блинчики с Творогом [Ашан];178;9,3;5;23,9
Блинчики Яблоко, Лимон, Корица [Ашан];192;4,1;2,2;38,9
Блины Простые [Ашан];178;4,6;3,2;4,2
Бородинские Традиции с Солодом [Ашан];216;7,8;0,9;43,3
Борщ Говядина [Ашан];73;3,3;3,3;7,5
Бостон (Крем Ваниль) [Ашан];300;3,5;17;30
Бразильский Орех [Ашан];590;13;62;16
Брауни [Ашан];437;4,9;24;51
Бретонские Галеты со Сливочным Маслом [Ашан];520;6,5;26,5;63
Брецель с Солью [Ашан];250;7;3;46
Бри Де Фамиль [Ашан];280;18;23;0
Бриош Парижский [Ашан];327;8,7;7,9;55
Бриош Руанский [Ашан];338;8,5;8,8;56
Бриошь с Шоколадом [Ашан];350;8,5;9;59
Бриут с Куриной Грудкой [Ашан];320;10,5;16,3;32,2
Брокколи [Ашан];24;2,7;0,4;4,7
Брокколи Замороженная [Ашан];26;2,8;0,5;3,9
Брокколи на Пару [Ашан];33;2,5;0,4;5,1
Брюссельская Капуста Замороженная [Ашан];45;5;0;6
Бублик с Кунжутом [Ашан];177;5;5;31
Бублик с Маком [Ашан];177;5;5;31
