Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Детское питание, Обед, овощи с мясом ягненка, пюре;52;2;2;6,9
Детское питание, Обед, овощи, лапша с курицей, пюре;63;2;2,5;6,8
Детское питание, Обед, паста (макаронные изделия), с овощами;60;1,7;2,1;6,9
Детское питание, Обед, рагу из говядины, для детей, начинающих ходить;51;5,1;1,2;5,5
Детское питание, Обед, рагу из цыпленка, для детей, начинающих ходить;78;5,2;3,7;5,8
Детское питание, Обед, сладкий картофель (батат) с курицей, пюре;74;2,51;2,17;9,74
Детское питание, Обед, смесь овощей, пюре;41;1,2;0,1;9,5
Детское питание, Обед, спагетти, с мясом и помидорами (томатами), для детей, начинающих ходить;75;5,3;1;10,8
Детское питание, Обед, цыпленок с овощами, пюре;59;2,47;1,73;6,32
Детское питание, Обогащенная злаковая плитка, с фруктовым наполнителем;344;5,43;5,3;66,93
Детское питание, Овощи и коричневый рис, пюре;69;1,9;1,5;11
Детское питание, Овощи, горошек, пюре;50;3,27;0,43;6,36
Детское питание, Овощи, зеленая фасоль и картофель;62;2,2;1,9;7,6
Детское питание, Овощи, зеленая фасоль, пюре;27;1,2;0,17;4,09
Детское питание, Овощи, кукуруза, протертая, пюре;57;1,4;0,4;12
Детское питание, Овощи, морковь, пюре;26;0,8;0,1;4,3
Детское питание, Овощи, мускатная тыква и кукуруза;50;2;0,6;7,26
Детское питание, Овощи, овощная смесь, пюре;36;1;0,5;6,75
Детское питание, Овощи, с грядки, пюре;32;2,3;0,2;5,3
Детское питание, Овощи, свекла, пюре;34;1,3;0,1;5,8
Детское питание, Овощи, сквош (тыква или кабачок или патиссон), пюре;28;0,81;0,2;4,83
Детское питание, Овощи, сладкий картофель (батат), пюре;57;1,1;0,1;11,7
Детское питание, Овощи, шпинат, протертый, пюре;37;2,5;1,3;3,9
Детское питание, Овсянка с фруктами, сухая, быстрого приготовления, для детей, начинающих ходить;402;10,5;7,05;66,3
Детское питание, Персики, кубики, для детей, начинающих ходить;51;0,5;0,2;11
Детское питание, Печеные продукты, хлебные палочки;421;6,4;9,9;74,38
Детское питание, Печенье;433;11,8;13,2;66,9
Детское питание, Печенье для прорезывания зубов;407;7,97;9,27;66,58
Детское питание, Печенье, детское, фруктовое;435;6,8;12,6;70,3
Детское питание, Печенье, с марантой;424;7,6;10;75,2
Детское питание, Равиоли, с сырной начинкой, с томатным соусом;99;3,6;2,2;16,2
Детское питание, Рис с яблоками, сухой;396;6,7;2,4;83,89
Детское питание, Сливы, бананы и рис, пюре;57;1,1;0,3;11,4
Детское питание, Смесь фруктов йогурт, пюре;75;0,8;0,8;15,83
Детское питание, Смесь фруктовых соков с низкожирным йогуртом;74;2,4;0,8;14,28
Детское питание, Сок банана, с маложирный йогуртом;86;2,5;0,8;17,14
Детское питание, Сок, апельсин и виноград;46;0,1;0,2;11,24
Детское питание, Сок, апельсиновый;45;0,6;0,3;10,1
Детское питание, Сок, грушевый;43;0;0;11,76
Детское питание, Сок, из апельсинов и абрикосов;46;0,8;0,1;10,8
Детское питание, Сок, из апельсинов и ананасов;48;0,5;0,1;11,6
Детское питание, Сок, из апельсинов и бананов;50;0,7;0,1;11,9
Детское питание, Сок, из морковно-апельсиновый;43;0,5;0,1;9,5
Детское питание, Сок, из чернослив и апельсина;70;0,6;0,3;16,8
Детское питание, Сок, фруктовая смесь;47;0,1;0,1;11,6
Детское питание, Сок, фруктовый пунш, с кальцием;52;0,2;0,1;12,3
Детское питание, Сок, яблоко;47;0;0,1;11,6
Детское питание, Сок, яблоко и персик;43;0,2;0,1;10,4
Детское питание, Сок, яблоко и слива;49;0,1;0;12,3
Детское питание, Сок, яблоко и чернослив;72;0,2;0,1;18
Детское питание, Сок, яблочно-апельсиново-банановый;47;0,4;0,1;11,4
Детское питание, Сок, яблочно-апельсиновый;43;0,4;0,2;10,1
Детское питание, Сок, яблочно-клюквенный;46;0;0,02;11,49
Детское питание, Сок, яблочно, батат;47;0,3;0,1;10,9
Детское питание, Сок, яблочный с вишней;41;0,1;0,2;9,9
Детское питание, Сок, яблочный, с кальцием;46;0,06;0,1;10,7
Детское питание, Сухарики;426;10,1;9,7;71,7
Детское питание, Фасоль зеленая, кусочки, для детей, начинающих ходить;29;1,2;0,2;4,4
Детское питание, Фруктовый десерт, манго с тапиокой;70;0,3;0,2;17,9
Детское питание, Фруктовый десерт, суприм;73;0,5;0,2;15,18
Детское питание, Фрукты, абрикос с тапиокой, пюре;60;0,3;0;14,8
Детское питание, Фрукты, бананы с ананасами и тапиокой, пюре;65;0,2;0;16,2
Детское питание, Фрукты, бананы с тапиокой, пюре;56;0,4;0,1;13,7
Детское питание, Фрукты, бананы с яблоками и грушами, пюре;83;0,9;0,22;17,91
Детское питание, Фрукты, груши с ананасом, пюре;41;0,3;0,1;8,3
Детское питание, Фрукты, груши, для малышариков;44;0,3;0,1;8,8
Детское питание, Фрукты, груши, пюре;42;0,3;0,2;8
Детское питание, Фрукты, гуава с папайей и тапиокой, пюре;63;0,2;0,1;17
Детское питание, Фрукты, папайя и яблочное пюре с тапиокой, пюре;70;0,2;0,1;17,5
Детское питание, Фрукты, персики, пюре;65;0,94;0,33;13,18
Детское питание, Фрукты, сливы с тапиокой, без аскорбиновой кислоты, пюре;71;0,1;0;18,5
Детское питание, Фрукты, тутти-фрутти, для малышариков;69;0,4;0,4;15,6
Детское питание, Фрукты, тутти-фрутти, пюре;66;0,4;0,3;14,88
Детское питание, Фрукты, чернослив с тапиокой, без аскорбиновой кислоты, пюре;69;0,6;0,1;15,8
Детское питание, Фрукты, яблоко и малина, пюре;58;0,2;0,2;13,5
Детское питание, Фрукты, яблоко и черникой, пюре;61;0,2;0,2;14,5
Детское питание, Фрукты, яблочное пюре и абрикосы, пюре;44;0,2;0,2;9,84
Детское питание, Фрукты, яблочное пюре и ананас, пюре;37;0,1;0,1;8,6
Детское питание, Фрукты, яблочное пюре и вишня, пюре;51;0;0;13
Детское питание, Чернослив, без доб. витамина С, пюре;100;1;0,2;20,82
Детское питание, Яблоки с ветчиной, пюре;62;2,6;0,9;9,1
Детское питание, Яблоки с курицей, пюре;65;2,16;1,38;9,08
Детское питание, Яблоки, кубики, для детей, начинающих ходить;50;0,19;0,36;9,66
Детское питание, Яблочно-банановый сок;51;0,2;0,1;12,1
Детское питание, Яблочный йогурт, десерт, пюре;93;0,8;1,6;19
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло;64;1,38;3,5;7,1
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, AR LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота;71;1,64;3,3;8,33
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, AR LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота;504;12,4;25;57,4
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, готовый к употреблению, с  ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло;73;2;3,8;7,73
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота;505;13,9;26;53,8
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LACTOFREE, LIPIL, с железом, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и D;132;2,68;7,11;14,42
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LACTOFREE, готовый к употреблению;63;1,38;3,5;7,18
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота;68;1,31;3,5;7,86
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с железом, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота;131;2,76;6,96;14,34
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с железом, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота;511;10,8;27;56,2
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозаге;64;1,38;3,5;7,18
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, жидкий концентрат, с ARA (Арахидоновая кислота) и DHA-Докозагексаен;131;2,76;7,16;14,24
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, LIPIL, с низким содерж. железа, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло;511;10,8;27;56,2
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагекса;68;1,83;3,5;7,21
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN LIPIL, с железом, порошок, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозаг;514;14,1;27;53,6
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, LIPIL, с железом, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и;126;3,53;6,73;13,12
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, готовый к употреблению;66;1,83;3,5;6,81
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, жидкий концентрат, невосстановленный;127;3,53;6,73;13,12
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, с железом, порошок, невосстановленный;502;14,2;25;55
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, PROSOBEE LIPIL, с железом, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая;512;12,7;27;54,6
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, PROSOBEE, LIPIL, жидкий концентрат, невосстановленный, с ARA (Арахидоновая кислота) и DHA-Докозагек;131;3,19;7,11;13,58
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, PROSOBEE, с железом, порошок, невосстановленный;510;12,5;27;54,3
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, с железом, готовый к употреблению;63;1,38;3,5;6,45
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, с железом, порошок;520;10,8;27;56,2
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, с низким содерж. железа, готовый к употреблению;63;1,38;3,5;7,18
Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, с низким содерж. железа, жидкий концентрат, невосстановленный;511;10,8;27;56,2
Заменитель грудного молока, MEAD JOHNSON, LACTOFREE LIPIL, с железом, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота;521;10,9;28;56,3
