Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Мороженое, клубничное, 8.4% жира;192;3,2;8,4;26,7
Мороженое, обычное, низкоуглеводное, ванильное, 12.7% жира;216;3,17;12,7;17,43
Мороженое, обычное, низкоуглеводное, шоколадное, 12.7% жира;237;3,8;12,7;22
Мороженое, французское, ванильное, мягкое, 13% жира;222;4,1;13;21,5
Мороженое, шоколадное, 11% жира;216;3,8;11;27
Мороженое, шоколадное, жирное, 17% жира;251;4,72;16,98;18,88
Мороженое, шоколадное, лайт, 7.19 жир;187;5;7,19;24,9
Мороженое, шоколадное, лайт, без доб. сахара, 5.74% жира;173;3,54;5,74;25,89
Пастила;324;0,5;0;80
Пастила, глазированная шоколадом;402;1,9;12;70,9
Патока кукурузная;316;0;0,3;78,3
Пектин (*в т. ч. РПВ-69,9);52;3,5;0;9,3
Пектин, жидкий;11;0;0;0
Печенье овсяное, промышленного изготовления, обычное;450;6,2;18,1;65,9
Печенье сахарное из муки первого сорта;407;7,4;9,4;73,1
Печенье сдобное;451;6,4;16,8;68,5
Печенье сливочное, промышленного изготовления, необогащенное;467;6,1;18,8;68,1
Печенье сливочное, промышленного изготовления, обогащенное;467;6,1;18,8;68,1
Печенье, ванильные вафли, с повышенным содерж. жира, 19,4%;455;4,9;16,41;71
Печенье, ванильные вафли, с пониженным содерж. жира, 15.2%;441;5;15,2;71,7
Печенье, ванильный сэндвич с кремовой начинкой;483;4,5;20;70,6
Печенье, затяжное из муки высшего сорта;414;8,5;11,3;69,7
Печенье, затяжное из муки первого сорта;396;7,7;9,1;70,9
Печенье, овсяное, охлажденное тесто;424;5,4;18,9;56,6
Печенье, овсяное, охлажденное тесто, испеченное;471;6;21;62,9
Печенье, овсяное, с изюмом;441;5,86;15,76;65,65
Печенье, овсяное, сухая смесь;462;6,5;19,2;67,3
Печенье, с пониженным содержанием сахара;493;8,3;23,6;61,2
Печенье, сахарное из муки высшего сорта;417;7,5;9,8;74,4
Печенье, сахарное, охлажденное тесто, испеченное;489;4,7;23,1;64,7
Печенье, сахарные вафли с кремовой начинкой, обычные;502;3,84;23,24;69,04
Печенье, сдобное миндальное;422;7,6;13,6;67,4
Печенье, шоколадное, приготовленное по рецепту;466;6,2;29,1;50,2
Печенье, шоколадное, промышленного изготовления;405;4,8;16,3;61,8
Печенье, шоколадное, сухая смесь, диетическая;426;2,9;12,5;76,2
Печенье, шоколадное, сухая смесь, стандартная;434;4;14,9;76,6
Печенье, шоколадные кусочки, промышленного изготовления, мягкое;444;3,63;19,77;63,95
Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, необогащенное;481;5,4;22,6;64,3
Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, обогащенное;492;5,1;24,72;63,36
Печенье, шоколадные кусочки, промышленного изготовления, станд., с пониженным содержанием жира;451;5,97;17,91;64,49
Пирожное бисквитное с белковым кремом;336;4,4;7,3;63,1
Пирожное вафельное молочное;572;4,8;36,7;55,3
Пирожное воздушное с кремом;440;2,6;20,8;60,5
Пирожное заварное с кремом (трубочка);433;4,4;24,5;48,8
Пирожное крошковое;388;5,9;19,4;47,5
Пирожное миндальное;433;8,5;16,2;63,2
Пирожное песочное с кремом;485;5,1;28,2;52,1
Пирожное песочное с фруктовой начинкой;435;5,1;18,5;62,6
Пирожное слоеное с белковым кремом;461;6,1;26;50,6
Пирожное, белково-сбивное;468;2,8;24,3;62,6
Пирожное, бисквитное, с фруктовой начинкой;351;4,7;9,3;64,2
Пирожное, слоеное с кремом;555;5,4;38,6;46,4
Пирожное, слоеное с яблочной начинкой;466;5,7;25,6;52,7
Плитки кондитерские;537;7,8;34,6;48,1
Плитки кондитерские сладкие;552;6,2;34,2;54,5
Пралине с ржаной мукой;567;4,7;37,7;52
Пралине с соевой мукой (*раффинозы и стахиозы менее 0,3%);535;9,9;32,2;51,2
Пряники заварные;366;5,9;4,7;75
Пряники сырцовые;346;6,3;2,1;75,6
Пудинг из тапиоки, приготовленный на цельном молоке;115;2,84;2,89;19,43
Пудинг, банановый, быстрого приготовления, приготовленный на цельном молоке;115;2,62;2,8;19,76
Пудинг, банановый, обычный, приготовленный на цельном молоке;111;2,74;2,89;18,44
Пудинг, банановый, сухая смесь, быстрого приготовления;367;0;0,6;92,7
Пудинг, банановый, сухая смесь, быстрого приготовления, с доб масла;386;0;4,4;89
Пудинг, банановый, сухая смесь, обычный;366;0;0,4;92,7
Пудинг, банановый, сухая смесь, обычный, с доб масла;387;0;5;88,1
